firstCol,numInsecure,total,proportion,year
No High School Diploma,1681,8257,20.36,2020
High School Diploma,2340,18035,12.974771278070400,2020
Some College No Degree,1198,11083,10.80934764955340,2020
Bachelors,640,14280,4.481792717086840,2020
Higher than Bachelors,220,8575,2.57,2020
No High School Diploma,1281,7024,18.2374715261959,2021
High School Diploma,1994.0,15998.0,12.464058007250900,2021
Some College No Degree,997.0,9483.0,10.513550564167500,2021
Bachelors,534.0,12837.0,4.1598504323440100,2021
Higher than Bachelors,185,6778,2.72941870758336,2021
No High School Diploma,1649.0,8535.0,19.3,2019
High School Diploma,2216.0,17790.0,12.456436200112400,2019
Some College No Degree,1237.0,11417.0,10.834720154156100,2019
Bachelors,574.0,14161.0,4.053386060306480,2019
Higher than Bachelors,190,7383,2.57347961533252,2019
