insecurityRate,pWhite,pBlack,pHispanic,pAsian,county,pLOWI,pKids,pSeniors,numInsecure,numWhite,numBlack,numAsian,numHispanic,region
15.7%,78.53072144545638,17.67055762218028,2.4005424126367485,0.8685932088471898,"Autauga County, Alabama",31.597368565721723,26.777958989206724,11.995382162687141,"8,670",42855.0,9643.0,474.0,1310.0,4.0
13.4%,85.67360711052588,9.384687131374648,4.384824294296766,0.7395824760650701,"Baldwin County, Alabama",31.735659616492466,22.987408443749484,16.771184813321263,"28,590",156153.0,17105.0,1348.0,7992.0,4.0
20.7%,48.002330917434534,46.891503077539426,5.05153512765415,0.3897002585861529,"Barbour County, Alabama",43.97057216738901,21.906981826128128,14.236806643114688,"5,250",13180.0,12875.0,107.0,1387.0,4.0
16.3%,75.84987999127209,22.024874536329914,1.7717652192886755,0.09600698232598735,"Bibb County, Alabama",34.771983416975786,22.696923412611827,12.68164957451451,"3,680",17381.0,5047.0,22.0,406.0,4.0
14.5%,92.57876556993824,1.3275880115836851,8.070199923240642,0.2041101147901329,"Blount County, Alabama",36.27751997487875,24.608352813928335,14.722096228324203,"8,380",53068.0,761.0,117.0,4626.0,4.0
15.7%,22.9704966098589,70.24005864027855,7.119296316657504,0.1832508704416346,"Bullock County, Alabama",43.677844969763605,22.264980758658602,13.459776433938062,"1,610",2507.0,7666.0,20.0,777.0,4.0
16.5%,54.418293789086746,43.41910536114957,0.9118250823506946,0.844989736000382,"Butler County, Alabama",45.22365971260801,24.137107939084355,16.65632310116007,"3,280",11399.0,9095.0,177.0,191.0,4.0
17.2%,74.9249401207705,20.563033431164186,3.283237189218365,0.7126471679654556,"Calhoun County, Alabama",39.166919677495535,22.877239145835443,14.328846607968154,"19,660",88840.0,24382.0,845.0,3893.0,4.0
15.4%,58.781236299868475,38.74616396317405,1.5665643723513079,0.49101271372205174,"Chambers County, Alabama",43.79950314189683,22.51351746310098,16.676896098202544,"5,190",20112.0,13257.0,168.0,536.0,4.0
16.1%,92.6584324137135,4.64812035861326,1.2312901612220555,0.20778021470622185,"Cherokee County, Alabama",41.52910846896764,21.41675324175613,17.896032937011814,"4,170",24081.0,1208.0,54.0,320.0,4.0
17.2%,84.12116490617052,9.692275966363448,7.83630822812364,0.2978713653965126,"Chilton County, Alabama",41.36516738079417,25.11284742112137,13.566895034713472,"7,590",36713.0,4230.0,130.0,3420.0,4.0
18.9%,55.78324554441158,43.3797532289487,0.5267335305577603,0.08658633379031676,"Choctaw County, Alabama",43.524063785265895,22.663972869615414,18.17591456815066,"2,440",7731.0,6012.0,12.0,73.0,4.0
18.6%,54.4652189060504,43.88185654008439,1.0490457941392792,0.2980683621724151,"Clarke County, Alabama",42.031510084001084,24.731932024929353,16.157627840359233,"4,490",14070.0,11336.0,77.0,271.0,4.0
16.5%,81.68245765144991,14.829170255526844,2.863910422049957,0.17226528854435832,"Clay County, Alabama",41.58053402239449,22.566752799310937,17.578237151880565,"2,200",11380.0,2066.0,24.0,399.0,4.0
18.2%,94.03553299492386,3.326208923323537,2.0504942559444297,0.15362009083622763,"Cleburne County, Alabama",41.11675126903553,23.71760619823671,15.769436281057974,"2,710",14079.0,498.0,23.0,307.0,4.0
15.7%,74.73772723632578,16.735404821013855,6.366621286137583,1.2893409145511332,"Coffee County, Alabama",34.16553215343958,24.193160887322815,14.435012412909426,"8,130",37330.0,8359.0,644.0,3180.0,4.0
16.5%,80.45307562284118,16.109355478797678,2.0081575659586974,0.4207393253472478,"Colbert County, Alabama",36.468361872565595,22.109943411479385,17.386271771882118,"9,040",43789.0,8768.0,229.0,1093.0,4.0
16.0%,51.315391593589354,46.48472936195948,1.2171152101602662,0.12851527063804052,"Conecuh County, Alabama",54.641669186573935,22.996673722407017,17.856062896885394,"1,990",6788.0,6149.0,17.0,161.0,4.0
15.0%,66.27957361989773,31.04255134760378,1.9932403154519454,0.13866019585752665,"Coosa County, Alabama",37.0482710806829,20.539041511396135,17.07253661495797,"1,620",7648.0,3582.0,16.0,230.0,4.0
18.1%,84.7927975638819,12.487753210644776,1.2789620018535681,0.41043294055342244,"Covington County, Alabama",38.816364358533036,22.56851582152787,18.37415596451741,"6,730",32022.0,4716.0,155.0,483.0,4.0
15.5%,72.60894577880052,23.399971235437942,1.466992665036675,1.35912555731339,"Crenshaw County, Alabama",42.97425571695671,23.788292823241765,15.892420537897312,"2,150",10097.0,3254.0,189.0,204.0,4.0
16.4%,94.68571997114643,1.06459716936547,4.2956993259209515,0.42658508071536955,"Cullman County, Alabama",40.866353257219615,23.183593264184267,15.931646892022982,"13,610",76133.0,856.0,343.0,3454.0,4.0
17.8%,74.10001791009134,19.261308232671986,5.6138186304750155,1.06266541959364,"Dale County, Alabama",39.54548168195658,24.829356629718813,13.450478597440846,"8,790",37236.0,9679.0,534.0,2821.0,4.0
19.0%,29.13966225467823,69.42720219078046,0.7051574623459608,0.3400273847558193,"Dallas County, Alabama",50.80785029666819,26.460520310360565,14.06891830214514,"7,430",12769.0,30423.0,149.0,309.0,4.0
17.2%,84.49985233936633,1.5159825057306389,13.626967050584316,0.2854772251051203,"DeKalb County, Alabama",48.99379825338565,25.82795426739231,13.887131024202281,"12,300",60087.0,1078.0,203.0,9690.0,4.0
