firstCol,numInsecure,total,proportion,year
Restaurants,409,2205,18.54875283446710,2020
Retail,501,4446,11.26855600539810,2020
Agriculture,61,763,7.99475753604194,2020
Construction and Manufacturing,388,3885,9.98712998712999,2020
Education,217,3765,5.763612217795490,2020
Public Administration,112,2168,5.166051660516610,2020
Administrative services,208,1381,15.061549601737900,2020
"Finance and Insurance",86,1947,4.41705187467899,2020
"Arts, Entertainment, Recreation",89,850,10.4705882352941,2020
Healthcare Non Hospital Setting,286,2739,10.441767068273100,2020
Healthcare Hospital Setting,99,1949,5.079527963057980,2020
Professional Services,146,3380,4.319526627218940,2020
Restaurants,258.0,1886.0,13.679745493107100,2021
Retail,440.0,3787.0,11.618695537364700,2021
Agriculture,47.0,611.0,7.6923076923076900,2021
Construction and Manufacturing,219.0,2399.0,9.128803668195080,2021
Education,160.0,3331.0,4.803362353647550,2021
Public Administration,93.0,1891.0,4.918032786885250,2021
Administrative services,182.0,1272.0,14.30817610062890,2021
Finance and Insurance,67.0,1630.0,4.1,2021
"Arts, Entertainment, Recreation",54.0,736.0,7.336956521739130,2021
Healthcare Non Hospital Setting,232.0,2278.0,10.184372256365200,2021
Healthcare Hospital Setting,104.0,1612.0,6.451612903225810,2021
Professional Services,123.0,3079.0,3.9948035076323500,2021
Restaurants,340.0,2253.0,15.090989791389300,2019
Retail,499.0,4237.0,11.777200849657800,2019
Agriculture,45.0,763.0,5.897771952817820,2019
Construction and Manufacturing,252.0,2732.0,9.224011713030750,2019
Education,220.0,4055.0,5.425400739827370,2019
Public Administration,103.0,2138.0,4.817586529466790,2019
Administrative services,196.0,1413.0,13.87119603680110,2019
Finance and Insurance,82,1902,4.31125131440589,2019
"Arts, Entertainment, Recreation",61.0,822.0,7.420924574209250,2019
Healthcare Non Hospital Setting,284.0,2828.0,10.042432814710000,2019
Healthcare Hospital Setting,116.0,2025.0,5.728395061728400,2019
Professional Services,115.0,3323.0,3.4607282575985600,2019
